CoRE-COFs ID; CoRE-COF-v2.0 ID (Tong et al.); name; dimension; atom types; reference; duplicate found; modifications;
05000N; 035; COF-1; 2D; H,B,C,O; Science, 2005, 310, 1166-1170; none; none;
05001N; 053; COF-5; 2D; H,B,C,O; Science, 2005, 310, 1166-1170; none; replicated 2x in C direction;
07000N; 036; COF-10; 2D; H,B,C,O; J. Am. Chem. Soc., 2007, 129, 12914-12915; none; replicated 2x in C direction;
07001N; 055; COF-6; 2D; H,B,C,O; J. Am. Chem. Soc., 2007, 129, 12914-12915; none; replicated 2x in C direction;
07002N; 057; COF-8; 2D; H,B,C,O; J. Am. Chem. Soc., 2007, 129, 12914-12915; none; replicated 2x in C direction;
07010N; 037; COF-102; 3D; H,B,C,O; Science, 2007, 316, 268-272; none; none;
07011N; 038; COF-103; 3D; H,B,C,O,Si; Science, 2007, 316, 268-272; none; none;
07012N; 039; COF-105; 3D; H,B,C,O,Si; Science, 2007, 316, 268-272; none; none;
07013N; 040; COF-108; 3D; H,B,C,O; Science, 2007, 316, 268-272; none; none;
08000N; 045; COF-202; 3D; H,B,C,O,Si; J. Am. Chem. Soc., 2008, 130, 11872-11873; none; none;
08010N; 041; COF-11Å; 2D; H,B,C,O; Adv. Mater., 2008, 20, 2741-2746; none; replicated 2x in C direction;
08011N; 042; COF-14Å; 2D; H,B,C,O; Adv. Mater., 2008, 20, 2741-2746; none; alligned to xy plan, replicated 2x in C direction;
08012N; 043; COF-16Å; 2D; H,B,C,O; Adv. Mater., 2008, 20, 2741-2746; none; alligned to xy plan, replicated 2x in C direction;
08013N; 044; COF-18Å; 2D; H,B,C,O; Adv. Mater., 2008, 20, 2741-2746; none; replicated 2x in C direction;
08020N; 073; CTF-1; 2D; H,C,N; Angew. Chem. Int. Ed., 2008, 47, 3450-3453; none; replicated 2x in C direction;
08030N; 235; TP-COF; 2D; H,B,C,O; Angew. Chem. Int. Ed., 2008, 47, 8826-8830; none; replicated 2x in C direction;
09000N; 046; COF-300; 3D; H,C,N; J. Am. Chem. Soc., 2009, 131, 4570-4571; none; none;
09010N; 186; PPy-COF; 2D; H,B,C,O; Angew. Chem. Int. Ed., 2009, 48, 5439-5442; none; replicated 2x in C direction;
10000N; 074; CTF-2-AA; 2D; H,C,N; Adv. Mater., 2010, 22, 2202-2205; none; replicated 2x in C direction;
10001N; 075; CTF-2-AB; 2D; H,C,N; Adv. Mater., 2010, 22, 2202-2205; none; none;
10010N; 169; Pc-PBBA-COF; 2D; H,B,C,N,O; Nat. Chem., 2010, 2, 672-677; none; replicated 2x in C direction;
10020N; 224; TBPB COF; 2D; H,C; Chem. Commun., 2010, 46, 7157-7159; none; replicated 2x in C direction;
11000N; 049; COF-42-bnn; 2D; H,C,N,O; J. Am. Chem. Soc., 2011, 133, 11478-11481; none; replicated 2x in C direction;
11001N; 050; COF-42-gra; 2D; H,C,N,O; J. Am. Chem. Soc., 2011, 133, 11478-11481; none; none;
11002N; 051; COF-43-bnn; 2D; H,C,N,O; J. Am. Chem. Soc., 2011, 133, 11478-11481; none; replicated 2x in C direction;
11003N; 052; COF-43-gra; 2D; H,C,N,O; J. Am. Chem. Soc., 2011, 133, 11478-11481; none; none;
11010N; 001; 2D-NiPc-BTDA-COF; 2D; H,B,C,N,O,S,Ni; J. Am. Chem. Soc., 2011, 133, 14510-14513; none; replicated 2x in C direction;
11020N; 063; COF-LZU1; 2D; H,C,N; J. Am. Chem. Soc., 2011, 133, 19816-19822; none; replicated 2x in C direction;
11030N; 048; COF-366; 2D; H,C,N; Chem. Mater., 2011, 23, 4094-4097; none; alligned to xy plan;
11031N; 056; COF-66; 2D; H,B,C,N,O; Chem. Mater., 2011, 23, 4094-4097; none; alligned to xy plan, replicated 2x in C direction;
12000N; 255; TpPa-1; 2D; H,C,N,O; J. Am. Chem. Soc., 2012, 134, 19524-19527; 13051N; replicated 2x in C direction;
12001N; 256; TpPa-2; 2D; H,C,N,O; J. Am. Chem. Soc., 2012, 134, 19524-19527; none; replicated 2x in C direction;
12010N; 118; H2P-COF; 2D; H,C,N; Angew. Chem. Int. Ed., 2012, 51, 2618-2622; none; replicated 2x in C direction;
12011N; 275; ZnP-COF; 2D; H,B,C,N,O; Angew. Chem. Int. Ed., 2012, 51, 2618-2622; none; replicated 2x in C direction;
12020N; 280; ZnPc-Py; 2D; H,B,C,N,O,Zn; Angew. Chem. Int. Ed., 2012, 51, 2623-2627; none; replicated 2x in C direction;
12021N; 276; ZnPc-COF; 2D; H,B,C,N,O,Ni; Angew. Chem. Int. Ed., 2012, 51, 2623-2627; none; alligned to xy plan, replicated 2x in C direction;
12022N; 277; ZnPc-DPB; 2D; H,B,C,N,O,Zn; Angew. Chem. Int. Ed., 2012, 51, 2623-2627; none; replicated 2x in C direction;
